FIPS,LOCATION,E_TOTPOP,E_AGE65,EP_AGE65,EP_POV150,EP_NOVEH,EP_DISABL,EP_UNINSUR,EP_MOBILE,EP_MUNIT,EP_AGE17,RPL_THEMES
04013107403,Census Tract 1074.03; Maricopa County; Arizona,2200,241,11.0,62.1,39.5,10.4,9.8,0.0,28.3,38.7,0.8909
04013107404,Census Tract 1074.04; Maricopa County; Arizona,1256,54,4.3,67.9,17.8,13.5,5.7,0.0,53.6,30.8,0.8389
04013107500,Census Tract 1075; Maricopa County; Arizona,3464,549,15.8,9.6,2.7,11.1,13.0,0.0,14.8,17.6,0.168
04013107601,Census Tract 1076.01; Maricopa County; Arizona,2980,750,25.2,23.6,16.4,16.4,7.3,0.0,47.6,10.1,0.4838
04013107602,Census Tract 1076.02; Maricopa County; Arizona,2749,281,10.2,16.2,8.7,13.2,5.9,0.0,28.9,17.9,0.3718
04013107700,Census Tract 1077; Maricopa County; Arizona,4117,682,16.6,4.7,10.2,10.5,4.2,0.0,45.3,13.8,0.1917
04013107800,Census Tract 1078; Maricopa County; Arizona,2523,1136,45.0,9.6,4.8,11.3,1.1,0.0,30.3,3.4,0.0768
04013108301,Census Tract 1083.01; Maricopa County; Arizona,3902,691,17.7,7.7,2.0,5.6,6.6,0.0,28.0,20.7,0.2263
04013108302,Census Tract 1083.02; Maricopa County; Arizona,3258,519,15.9,19.2,4.1,10.3,9.1,0.0,27.0,19.4,0.4151
04013108400,Census Tract 1084; Maricopa County; Arizona,5726,997,17.4,16.9,14.6,9.6,7.8,0.0,42.5,14.2,0.4925
04013108501,Census Tract 1085.01; Maricopa County; Arizona,2451,223,9.1,25.2,1.9,9.4,15.8,0.0,32.0,15.0,0.515
04013108502,Census Tract 1085.02; Maricopa County; Arizona,3376,355,10.5,10.8,2.7,6.3,12.1,0.0,52.9,7.7,0.1351
04013108601,Census Tract 1086.01; Maricopa County; Arizona,2441,334,13.7,33.0,18.8,23.8,15.4,0.0,45.1,17.9,0.9313
04013108602,Census Tract 1086.02; Maricopa County; Arizona,6667,863,12.9,30.7,2.3,11.1,12.7,0.0,61.2,16.4,0.7494
