geoid,name,lat,lon,recovery_gap_h,relief_h,svi,population,built_share,veg_share,bare_share,classified,usable,built,vegetation,bare,water,transient,unclassified,unmapped
04013112100,1121,33.473227,-112.125755,5.0116,0.988,0.6969,3919.0,0.6255,0.1345,0.24,0.9919,True,0.6204,0.1334,0.2381,0.0,0.0,0.0081,
04013114302,1143.02,33.440443,-112.091276,5.0325,0.968,0.899,2711.0,0.9908,0.0092,0.0,0.9745,True,0.9655,0.009,0.0,0.0,0.0227,0.0028,
04013107602,1076.02,33.515924,-112.051883,5.0957,0.904,0.3718,2749.0,0.6339,0.15,0.2162,0.9928,True,0.6293,0.1489,0.2146,0.0,0.0056,0.0016,
04013110502,1105.02,33.487503,-112.06942,5.3197,0.68,0.5901,3264.0,0.9052,0.07,0.0248,0.9324,True,0.844,0.0653,0.0231,0.0,0.0057,0.062,
04013113100,1131,33.454954,-112.073889,5.3405,0.659,0.6553,5837.0,0.9674,0.0326,0.0,0.9985,True,0.9659,0.0326,0.0,0.0,0.0,0.0015,
04013114800,1148,33.421533,-112.09104,5.3705,0.629,0.9654,3120.0,0.2211,0.0,0.7789,0.431,False,0.0953,0.0,0.3357,0.0,0.0,0.569,
04013114900,1149,33.427997,-112.073804,5.5345,0.465,0.9688,2717.0,1.0,0.0,0.0,0.2523,False,0.2523,0.0,0.0,0.0,0.0,0.7477,
04013110701,1107.01,33.487469,-112.044785,5.9549,0.045,0.8603,2244.0,0.7863,0.1263,0.0874,0.9114,True,0.7166,0.1151,0.0797,0.0,0.0,0.0886,
04013110801,1108.01,33.491384,-112.021572,5.9941,0.006,0.7442,5025.0,0.7152,0.2111,0.0737,0.9553,True,0.6832,0.2017,0.0704,0.0,0.0,0.0447,
04013111501,1115.01,33.46968,-112.0257,5.9989,0.001,0.8112,2148.0,0.9007,0.04,0.0592,0.9941,True,0.8954,0.0398,0.0589,0.0,0.0,0.0059,
04013113800,1138,33.434921,-112.004381,5.9999,0.0,0.7234,2581.0,,,,0.0,False,0.0,0.0,0.0,0.0,0.0,1.0,
04013111401,1114.01,33.472803,-112.008555,6.0,0.0,0.7436,4473.0,0.9664,0.0178,0.0158,0.8375,True,0.8094,0.0149,0.0132,0.0,0.0,0.1626,
04013113503,1135.03,33.462212,-112.025152,6.0,0.0,0.9371,4826.0,0.601,0.1069,0.2921,0.9825,True,0.5905,0.105,0.287,0.0,0.0174,0.0001,
04013111602,1116.02,33.473049,-112.043062,6.0,0.0,0.8736,4646.0,0.931,0.069,0.0,0.9664,True,0.8997,0.0667,0.0,0.0,0.0072,0.0264,
04013114000,1140,33.444105,-112.056534,6.0,0.0,0.713,1865.0,1.0,0.0,0.0,0.0593,False,0.0593,0.0,0.0,0.0,0.0,0.9407,
04013108302,1083.02,33.498671,-112.004189,6.0,0.0,0.4151,3258.0,0.8463,0.0484,0.1053,0.9801,True,0.8295,0.0474,0.1032,0.0,0.0,0.02,
04013110702,1107.02,33.487543,-112.036069,6.0,0.0,0.6755,4571.0,0.9174,0.0826,0.0,0.9741,True,0.8936,0.0805,0.0,0.0,0.0,0.0259,
04013108301,1083.01,33.510515,-112.00417,6.0,0.0,0.2263,3902.0,0.5703,0.4192,0.0105,0.9995,True,0.57,0.419,0.0105,0.0,0.0,0.0006,
04013115400,1154,33.415197,-112.073368,6.0,0.0,0.9249,1688.0,0.9624,0.0319,0.0057,0.9949,True,0.9575,0.0317,0.0057,0.0,0.0,0.0051,
04013113204,1132.04,33.462231,-112.051293,6.0,0.0,0.7552,2484.0,0.6376,0.092,0.2704,0.8141,True,0.5191,0.0749,0.2201,0.0,0.0287,0.1572,
